path,conf,class_id,x_min,y_min,x_max,y_max
/kaggle/temp/axial_all_images/100206310___1012284084___20.png,0.7961933612823486,0,169.0,155.0,190.0,176.0
/kaggle/temp/axial_all_images/100206310___1012284084___28.png,0.8106582760810852,0,166.0,150.0,187.0,171.0
/kaggle/temp/axial_all_images/100206310___1012284084___37.png,0.8116521239280701,0,161.0,149.0,182.0,170.0
/kaggle/temp/axial_all_images/100206310___1012284084___46.png,0.767815113067627,0,157.0,146.0,178.0,167.0
/kaggle/temp/axial_all_images/100206310___1012284084___55.png,0.7298824787139893,0,156.0,148.0,177.0,169.0
/kaggle/temp/axial_all_images/1013589491___598943280___13.png,0.8075293302536011,0,249.00000000000003,239.0,283.0,273.0
/kaggle/temp/axial_all_images/1013589491___598943280___19.png,0.8094509840011597,0,243.00000000000003,229.99999999999997,277.0,263.0
/kaggle/temp/axial_all_images/1013589491___598943280___26.png,0.8080169558525085,0,247.00000000000003,225.0,280.0,259.0
/kaggle/temp/axial_all_images/1013589491___598943280___33.png,0.7930943369865417,0,257.0,239.0,291.0,273.0
/kaggle/temp/axial_all_images/1013589491___598943280___8.png,0.7846139669418335,0,257.0,270.0,291.0,304.0
/kaggle/temp/axial_all_images/1018005303___1049505285___11.png,0.8197363018989563,0,157.0,160.0,178.0,181.0
/kaggle/temp/axial_all_images/1018005303___1049505285___15.png,0.8144692182540894,0,155.0,155.0,177.0,176.0
/kaggle/temp/axial_all_images/1018005303___1049505285___19.png,0.8167644143104553,0,156.0,158.0,177.0,179.0
/kaggle/temp/axial_all_images/1018005303___1049505285___23.png,0.7857587933540344,0,158.0,157.0,179.0,178.0
/kaggle/temp/axial_all_images/1018005303___1049505285___7.png,0.8181867599487305,0,157.0,159.0,178.0,180.0
/kaggle/temp/axial_all_images/1018005303___3675524442___12.png,0.8138201236724854,0,128.0,137.0,145.0,154.0
/kaggle/temp/axial_all_images/1018005303___3675524442___20.png,0.8342877626419067,0,127.0,135.0,143.0,152.0
/kaggle/temp/axial_all_images/1018005303___3675524442___28.png,0.8369095325469971,0,125.0,132.0,142.0,149.0
/kaggle/temp/axial_all_images/1018005303___3675524442___32.png,0.7787112593650818,0,126.0,130.0,143.0,146.0
/kaggle/temp/axial_all_images/1018005303___4193900495___11.png,0.829468309879303,0,127.0,141.0,144.0,158.0
/kaggle/temp/axial_all_images/1018005303___4193900495___18.png,0.785005509853363,0,127.0,141.0,144.0,158.0
/kaggle/temp/axial_all_images/1018005303___4193900495___3.png,0.8323978185653687,0,127.0,145.0,144.0,161.0
/kaggle/temp/axial_all_images/1019430579___4056780644___10.png,0.8017556667327881,0,261.0,243.00000000000003,294.0,276.0
/kaggle/temp/axial_all_images/1019430579___4056780644___15.png,0.830879807472229,0,258.0,243.00000000000003,292.0,277.0
/kaggle/temp/axial_all_images/1019430579___4056780644___20.png,0.7902678847312927,0,263.0,239.0,296.0,273.0
/kaggle/temp/axial_all_images/1019430579___4056780644___24.png,0.7191898822784424,0,258.0,239.0,291.0,272.0
/kaggle/temp/axial_all_images/1019430579___4056780644___4.png,0.7863689064979553,0,261.0,248.0,295.0,282.0
/kaggle/temp/axial_all_images/1036203708___2773479263___11.png,0.8232293725013733,0,160.0,160.0,181.0,181.0
/kaggle/temp/axial_all_images/1036203708___2773479263___15.png,0.8353362083435059,0,158.0,164.0,179.0,185.0
/kaggle/temp/axial_all_images/1036203708___2773479263___19.png,0.8063845634460449,0,152.0,161.0,174.0,182.0
/kaggle/temp/axial_all_images/1036203708___2773479263___23.png,0.8145579695701599,0,152.0,161.0,173.0,183.0
/kaggle/temp/axial_all_images/1036203708___2773479263___7.png,0.8186337947845459,0,163.0,163.0,184.0,184.0
/kaggle/temp/axial_all_images/1051595826___1280894613___11.png,0.7904779314994812,0,231.99999999999997,222.00000000000003,261.0,250.99999999999997
/kaggle/temp/axial_all_images/1051595826___1280894613___18.png,0.7829414010047913,0,234.0,218.00000000000003,263.0,248.0
/kaggle/temp/axial_all_images/1051595826___1280894613___28.png,0.8242174983024597,0,229.0,193.0,259.0,223.0
/kaggle/temp/axial_all_images/1051595826___1280894613___34.png,0.7562825679779053,0,233.0,199.0,262.0,227.99999999999997
/kaggle/temp/axial_all_images/1051595826___1280894613___5.png,0.7957380414009094,0,231.99999999999997,236.0,262.0,265.0
/kaggle/temp/axial_all_images/1051657831___2462523385___13.png,0.8002739548683167,0,129.0,124.0,146.0,141.0
/kaggle/temp/axial_all_images/1051657831___2462523385___18.png,0.7935787439346313,0,130.0,119.0,147.0,135.0
/kaggle/temp/axial_all_images/1051657831___2462523385___24.png,0.7940207719802856,0,122.0,119.0,139.0,136.0
/kaggle/temp/axial_all_images/1051657831___2462523385___29.png,0.7619931101799011,0,118.0,118.0,135.0,135.0
/kaggle/temp/axial_all_images/1051657831___2462523385___9.png,0.7711909413337708,0,128.0,123.0,144.0,140.0
/kaggle/temp/axial_all_images/1057173941___3608799236___12.png,0.8061917424201965,0,159.0,158.0,181.0,179.0
/kaggle/temp/axial_all_images/1057173941___3608799236___21.png,0.8129058480262756,0,158.0,150.0,179.0,171.0
/kaggle/temp/axial_all_images/1057173941___3608799236___31.png,0.7990909218788147,0,161.0,155.0,182.0,176.0
/kaggle/temp/axial_all_images/1057173941___3608799236___38.png,0.760387122631073,0,164.0,158.0,186.0,179.0
/kaggle/temp/axial_all_images/1057173941___3608799236___5.png,0.8008942604064941,0,166.0,156.0,187.0,177.0
/kaggle/temp/axial_all_images/1075351916___2056623407___13.png,0.7549376487731934,0,171.0,123.0,192.0,144.0
/kaggle/temp/axial_all_images/1075351916___2056623407___22.png,0.7530704140663147,0,169.0,119.0,190.0,140.0
/kaggle/temp/axial_all_images/1075351916___2056623407___31.png,0.7731115818023682,0,166.0,112.00000000000001,187.0,133.0
/kaggle/temp/axial_all_images/1075351916___2056623407___42.png,0.8133788108825684,0,166.0,107.0,187.0,128.0
/kaggle/temp/axial_all_images/1075351916___2056623407___52.png,0.395567923784256,0,165.5498504638672,97.7643609046936,186.54985427856445,118.76435279846191
/kaggle/temp/axial_all_images/1075863395___1152750583___13.png,0.803947925567627,0,154.0,161.0,175.0,182.0
/kaggle/temp/axial_all_images/1075863395___1152750583___20.png,0.7922172546386719,0,150.0,159.0,172.0,181.0
/kaggle/temp/axial_all_images/1075863395___1152750583___27.png,0.8138153553009033,0,149.0,164.0,171.0,186.0
/kaggle/temp/axial_all_images/1075863395___1152750583___34.png,0.8090171813964844,0,144.0,165.0,165.0,186.0
/kaggle/temp/axial_all_images/1075863395___1152750583___40.png,0.39180055260658264,0,139.38599824905396,171.9035029411316,161.3860011100769,192.90350675582886
/kaggle/temp/axial_all_images/1075863395___2883677594___13.png,0.8111819624900818,0,154.0,161.0,175.0,183.0
/kaggle/temp/axial_all_images/1075863395___2883677594___18.png,0.8101908564567566,0,151.0,162.0,173.0,183.0
/kaggle/temp/axial_all_images/1075863395___2883677594___24.png,0.38068342208862305,0,153.60565185546875,162.74043321609497,175.6056547164917,183.8269591331482
/kaggle/temp/axial_all_images/1075863395___2883677594___3.png,0.7962231636047363,0,162.0,175.0,183.0,196.0
/kaggle/temp/axial_all_images/1075863395___2883677594___8.png,0.8244906067848206,0,156.0,162.0,178.0,184.0
/kaggle/temp/axial_all_images/1078357909___2299080281___12.png,0.8055686950683594,0,155.0,135.0,175.0,156.0
