path,conf,class_id,x_min,y_min,x_max,y_max
/kaggle/temp/axial_all_images/100206310___1012284084___20.png,0.7813847064971924,0,134.0,153.0,155.0,174.0
/kaggle/temp/axial_all_images/100206310___1012284084___28.png,0.8057156205177307,0,137.0,150.0,158.0,171.0
/kaggle/temp/axial_all_images/100206310___1012284084___37.png,0.39272594451904297,0,136.70912981033325,150.95845460891724,157.70914554595947,171.91691398620605
/kaggle/temp/axial_all_images/100206310___1012284084___46.png,0.7811803221702576,0,134.0,149.0,155.0,170.0
/kaggle/temp/axial_all_images/100206310___1012284084___55.png,0.7541011571884155,0,134.0,149.0,155.0,170.0
/kaggle/temp/axial_all_images/1013589491___598943280___13.png,0.808840274810791,0,210.0,239.0,244.0,273.0
/kaggle/temp/axial_all_images/1013589491___598943280___19.png,0.817327082157135,0,202.99999999999997,229.99999999999997,237.0,264.0
/kaggle/temp/axial_all_images/1013589491___598943280___26.png,0.7953467965126038,0,202.0,229.0,236.0,263.0
/kaggle/temp/axial_all_images/1013589491___598943280___33.png,0.769898533821106,0,206.0,242.0,240.0,276.0
/kaggle/temp/axial_all_images/1013589491___598943280___8.png,0.8048192858695984,0,219.0,269.0,252.99999999999997,303.0
/kaggle/temp/axial_all_images/1018005303___1049505285___11.png,0.8165642619132996,0,132.0,159.0,153.0,180.0
/kaggle/temp/axial_all_images/1018005303___1049505285___15.png,0.8098915815353394,0,132.0,153.0,153.0,174.0
/kaggle/temp/axial_all_images/1018005303___1049505285___19.png,0.8185613751411438,0,134.0,155.0,155.0,176.0
/kaggle/temp/axial_all_images/1018005303___1049505285___23.png,0.8085394501686096,0,131.0,155.0,153.0,176.0
/kaggle/temp/axial_all_images/1018005303___1049505285___7.png,0.8046109676361084,0,127.0,158.0,148.0,179.0
/kaggle/temp/axial_all_images/1018005303___3675524442___12.png,0.7920895218849182,0,104.0,136.0,121.0,153.0
/kaggle/temp/axial_all_images/1018005303___3675524442___20.png,0.8136248588562012,0,109.00000000000001,134.0,126.0,151.0
/kaggle/temp/axial_all_images/1018005303___3675524442___28.png,0.8199472427368164,0,109.00000000000001,132.0,126.0,149.0
/kaggle/temp/axial_all_images/1018005303___3675524442___32.png,0.7897207140922546,0,107.0,128.0,123.0,145.0
/kaggle/temp/axial_all_images/1018005303___4193900495___11.png,0.7903718948364258,0,111.00000000000001,139.0,128.0,156.0
/kaggle/temp/axial_all_images/1018005303___4193900495___18.png,0.7969558238983154,0,108.0,139.0,125.0,156.0
/kaggle/temp/axial_all_images/1018005303___4193900495___3.png,0.8099970817565918,0,111.00000000000001,144.0,128.0,161.0
/kaggle/temp/axial_all_images/1019430579___4056780644___10.png,0.808556318283081,0,204.99999999999997,243.00000000000003,240.0,277.0
/kaggle/temp/axial_all_images/1019430579___4056780644___15.png,0.8177016973495483,0,206.0,245.00000000000003,240.0,278.0
/kaggle/temp/axial_all_images/1019430579___4056780644___20.png,0.8042080998420715,0,211.0,242.0,245.00000000000003,275.0
/kaggle/temp/axial_all_images/1019430579___4056780644___24.png,0.8020272850990295,0,212.0,245.00000000000003,246.0,279.0
/kaggle/temp/axial_all_images/1019430579___4056780644___4.png,0.7479568123817444,0,202.99999999999997,249.00000000000003,237.0,283.0
/kaggle/temp/axial_all_images/1036203708___2773479263___11.png,0.8068893551826477,0,132.0,159.0,153.0,180.0
/kaggle/temp/axial_all_images/1036203708___2773479263___15.png,0.8175570368766785,0,132.0,163.0,153.0,184.0
/kaggle/temp/axial_all_images/1036203708___2773479263___19.png,0.8250054121017456,0,132.0,159.0,153.0,180.0
/kaggle/temp/axial_all_images/1036203708___2773479263___23.png,0.8361182808876038,0,132.0,161.0,153.0,182.0
/kaggle/temp/axial_all_images/1036203708___2773479263___7.png,0.8043060898780823,0,132.0,163.0,153.0,184.0
/kaggle/temp/axial_all_images/1051595826___1280894613___11.png,0.7477633953094482,0,192.0,225.0,221.0,254.0
/kaggle/temp/axial_all_images/1051595826___1280894613___18.png,0.7770739197731018,0,193.0,221.0,223.0,250.99999999999997
/kaggle/temp/axial_all_images/1051595826___1280894613___28.png,0.8174496293067932,0,199.0,192.0,229.0,222.00000000000003
/kaggle/temp/axial_all_images/1051595826___1280894613___34.png,0.7567026019096375,0,198.0,196.0,227.0,225.0
/kaggle/temp/axial_all_images/1051595826___1280894613___5.png,0.7618705630302429,0,191.0,239.0,220.00000000000003,268.0
/kaggle/temp/axial_all_images/1051657831___2462523385___13.png,0.787570059299469,0,107.0,121.0,124.0,138.0
/kaggle/temp/axial_all_images/1051657831___2462523385___18.png,0.8037195205688477,0,110.00000000000001,117.0,127.0,133.0
/kaggle/temp/axial_all_images/1051657831___2462523385___24.png,0.775958240032196,0,100.0,117.0,117.0,134.0
/kaggle/temp/axial_all_images/1051657831___2462523385___29.png,0.790371835231781,0,93.0,119.0,110.00000000000001,136.0
/kaggle/temp/axial_all_images/1051657831___2462523385___9.png,0.8039510846138,0,103.0,122.0,120.0,139.0
/kaggle/temp/axial_all_images/1057173941___3608799236___12.png,0.7782811522483826,0,127.0,156.0,148.0,177.0
/kaggle/temp/axial_all_images/1057173941___3608799236___21.png,0.7996341586112976,0,134.0,148.0,155.0,169.0
/kaggle/temp/axial_all_images/1057173941___3608799236___31.png,0.8012874126434326,0,141.0,155.0,162.0,176.0
/kaggle/temp/axial_all_images/1057173941___3608799236___38.png,0.7877382636070251,0,140.0,156.0,161.0,177.0
/kaggle/temp/axial_all_images/1057173941___3608799236___5.png,0.7816612124443054,0,128.0,154.0,149.0,175.0
/kaggle/temp/axial_all_images/1075351916___2056623407___13.png,0.7686175107955933,0,139.0,123.0,160.0,144.0
